code,name,market,list_date
0050,元大台灣50,TWSE,2003-06-30
0051,元大中型100,TWSE,2006-08-31
0052,富邦科技,TWSE,2006-09-12
0053,元大電子,TWSE,2007-07-16
0055,元大MSCI金融,TWSE,2007-07-16
0056,元大高股息,TWSE,2007-12-26
0057,富邦摩台,TWSE,2008-02-27
0061,元大寶滬深,TWSE,2009-08-17
1101,台泥,TWSE,1962-02-09
1102,亞泥,TWSE,1962-06-08
1103,嘉泥,TWSE,1969-11-14
1104,環泥,TWSE,1971-02-01
1108,幸福,TWSE,1990-06-06
1109,信大,TWSE,1991-12-05
1110,東泥,TWSE,1994-10-22
1201,味全,TWSE,1962-02-09
1203,味王,TWSE,1964-08-24
1210,大成,TWSE,1978-05-20
1213,大飲,TWSE,1981-04-10
1215,卜蜂,TWSE,1987-07-27
1216,統一,TWSE,1987-12-28
1217,愛之味,TWSE,1989-10-28
1218,泰山,TWSE,1989-11-11
1219,福壽,TWSE,1990-12-01
1220,台榮,TWSE,1991-11-20
1225,福懋油,TWSE,1993-09-27
1227,佳格,TWSE,1994-04-09
1229,聯華,TWSE,1976-07-19
1231,聯華食,TWSE,1995-11-02
1232,大統益,TWSE,1996-02-09
1233,天仁,TWSE,1999-01-20
1234,黑松,TWSE,1999-03-12
1235,興泰,TWSE,2000-09-11
1236,宏亞,TWSE,2001-09-17
1256,鮮活果汁-KY,TWSE,2016-03-17
1301,台塑,TWSE,1964-07-27
1303,南亞,TWSE,1967-11-15
1304,台聚,TWSE,1972-05-20
1305,華夏,TWSE,1973-03-05
1307,三芳,TWSE,1985-11-23
1308,亞聚,TWSE,1986-06-20
1309,台達化,TWSE,1986-06-27
1310,台苯,TWSE,1987-08-06
1312,國喬,TWSE,1988-12-21
1313,聯成,TWSE,1989-03-27
1314,中石化,TWSE,1991-07-12
1315,達新,TWSE,1992-05-09
1316,上曜,TWSE,1992-10-15
1319,東陽,TWSE,1994-12-12
1321,大洋,TWSE,1999-01-26
1323,永裕,TWSE,2000-09-11
1324,地球,TWSE,2000-09-11
1325,恆大,TWSE,2000-09-11
1326,台化,TWSE,1984-12-20
1337,再生-KY,TWSE,2011-08-17
1338,廣華-KY,TWSE,2012-12-19
1339,昭輝,TWSE,2012-04-24
1340,勝悅-KY,TWSE,2014-01-14
1341,富林-KY,TWSE,2018-12-24
1342,八貫,TWSE,2020-11-24
1402,遠東新,TWSE,1967-04-14
1409,新纖,TWSE,1973-08-31
1410,南染,TWSE,1973-10-18
1413,宏洲,TWSE,1975-12-23
1414,東和,TWSE,1976-02-02
1416,廣豐,TWSE,1976-04-20
1417,嘉裕,TWSE,1976-12-28
1418,東華,TWSE,1977-02-14
1419,新紡,TWSE,1977-03-14
1423,利華,TWSE,1979-04-02
1432,大魯閣,TWSE,1982-07-26
1434,福懋,TWSE,1985-12-24
1435,中福,TWSE,1987-12-28
1436,華友聯,TWSE,1988-04-11
1437,勤益控,TWSE,1988-11-10
1438,三地開發,TWSE,1988-12-15
1439,雋揚,TWSE,1989-05-22
1440,南紡,TWSE,1989-10-03
1441,大東,TWSE,1989-10-27
1442,名軒,TWSE,1989-11-16
1443,立益物流,TWSE,1990-04-21
1444,力麗,TWSE,1990-08-08
1445,大宇,TWSE,1991-02-05
1446,宏和,TWSE,1991-10-15
1447,力鵬,TWSE,1992-01-28
1449,佳和,TWSE,1992-05-06
1451,年興,TWSE,1992-12-21
1452,宏益,TWSE,1992-12-28
1453,大將,TWSE,1993-04-19
1454,台富,TWSE,1993-05-07
1455,集盛,TWSE,1993-10-07
1456,怡華,TWSE,1993-12-09
1457,宜進,TWSE,1994-10-20
1459,聯發,TWSE,1994-10-26
1460,宏遠,TWSE,1995-04-28
1463,強盛新,TWSE,1996-12-05
1464,得力,TWSE,1997-01-18
1465,偉全,TWSE,1997-09-08
1466,聚隆,TWSE,1998-04-04
1467,南緯,TWSE,1998-12-21
1468,昶和,TWSE,1999-01-21
1470,大統新創,TWSE,1999-05-21
1471,首利,TWSE,2000-03-06
1472,三洋實業,TWSE,2000-09-11
1473,台南,TWSE,2000-09-11
1474,弘裕,TWSE,2000-10-31
1475,業旺,TWSE,2000-10-27
1476,儒鴻,TWSE,2001-04-18
1477,聚陽,TWSE,2003-01-21
1503,士電,TWSE,1969-12-15
1504,東元,TWSE,1973-11-05
1506,正道,TWSE,1980-08-11
1512,瑞利,TWSE,1994-01-28
1513,中興電,TWSE,1994-03-08
1514,亞力,TWSE,1994-03-26
1515,力山,TWSE,1995-02-04
1516,川飛,TWSE,1995-04-01
1517,利奇,TWSE,1995-11-14
1519,華城,TWSE,1997-04-16
1521,大億,TWSE,1997-10-06
1522,堤維西,TWSE,1997-10-06
1524,耿鼎,TWSE,1998-10-30
1525,江申,TWSE,1999-05-15
1526,日馳,TWSE,2000-03-27
1527,鑽全,TWSE,2000-06-21
1528,恩德,TWSE,2000-09-11
1529,樂事綠能,TWSE,2000-09-11
1530,亞崴,TWSE,2000-09-11
1531,高林股,TWSE,2000-09-11
1532,勤美,TWSE,2000-09-11
1533,車王電,TWSE,2001-04-06
1535,中宇,TWSE,2001-09-17
1536,和大,TWSE,2001-09-17
1537,廣隆,TWSE,2002-01-22
1538,正峰,TWSE,2002-08-26
1539,巨庭,TWSE,2002-10-29
