 持股分級      人數          股數  占集保庫存數比例%
    1 1403697   193183719       0.74
    2  376597   722289616       2.78
    3   45174   325517869       1.25
    4   15313   188357503       0.72
    5    7258   128057182       0.49
    6    7026   172213089       0.66
    7    3355   116474640       0.44
    8    1898    85550635       0.32
    9    3875   270466294       1.04
   10    1937   269118426       1.03
   11    1274   356405065       1.37
   12     574   279314668       1.07
   13     320   222471919       0.85
   14     228   204764323       0.78
   15    1541 22398419573      86.37
   16       1       80000       0.00
   17 1870067 25932524521     100.00
